machine_type,task_type,time_of_day,weather_condition,month,day_of_week,context_risk_score,hazard_type,severity_score
Truck,General Construction,Unknown,Clear/Unknown,8,Thursday,77.45,Struck-by,3.0
Roller,General Construction,Unknown,Clear/Unknown,8,Friday,36.79,Caught-in,1.0
Loader,General Construction,Unknown,Clear/Unknown,8,Monday,65.45,Struck-by,3.0
Truck,Operating,Unknown,Clear/Unknown,8,Monday,48.3,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Tuesday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Wednesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Wednesday,47.19,Caught-in,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,8,Wednesday,47.14,Contact-with,3.0
Loader,General Construction,Unknown,Clear/Unknown,8,Wednesday,43.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Thursday,71.57,Caught-in,4.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,8,Friday,43.83,Struck-by,1.0
Loader,Excavation,Unknown,Clear/Unknown,8,Friday,39.69,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,8,Monday,43.86,Fall,1.0
Aerial Lift,Operating,Unknown,Clear/Unknown,8,Tuesday,72.7,Electrocution,4.0
Truck,General Construction,Unknown,Clear/Unknown,8,Tuesday,69.19,Caught-in,3.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Wednesday,46.43,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,8,Wednesday,64.31,Caught-in,3.0
Loader,Operating,Unknown,Clear/Unknown,8,Thursday,37.7,Collision,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Thursday,50.92,Fall,1.0
Roller,Operating,Unknown,Clear/Unknown,8,Friday,68.76,Caught-in,4.0
Forklift,General Construction,Unknown,Clear/Unknown,8,Tuesday,60.57,Caught-in,3.0
Loader,General Construction,Unknown,Clear/Unknown,8,Tuesday,43.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,8,Wednesday,64.96,Caught-in,3.0
Dump Truck,General Construction,Unknown,Clear/Unknown,8,Thursday,62.34,Struck-by,3.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,9,Monday,34.2,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Tuesday,55.45,Struck-by,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,9,Wednesday,35.71,Caught-in,1.0
Crane,General Construction,Unknown,Clear/Unknown,9,Friday,36.59,Burns,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,9,Friday,39.83,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,9,Tuesday,50.92,Fall,1.0
Bulldozer,General Construction,Unknown,Clear/Unknown,9,Tuesday,37.6,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,42.67,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Wednesday,48.99,Electrocution,1.0
Forklift,Maintenance,Evening,Clear/Unknown,9,Saturday,62.1,Tip-over,1.0
Roller,General Construction,Unknown,Clear/Unknown,9,Saturday,41.97,Tip-over,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,9,Monday,40.79,Electrocution,1.0
Truck,Operating,Unknown,Clear/Unknown,9,Tuesday,47.71,Tip-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Tuesday,49.94,Run-over,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,38.65,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Wednesday,55.45,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,23.05,Other,1.0
Truck,General Construction,Unknown,Clear/Unknown,9,Thursday,43.86,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,9,Friday,28.14,Pinch-Point,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,9,Friday,60.77,Caught-in,3.0
Concrete Pump,General Construction,Unknown,Clear/Unknown,9,Friday,34.71,Fall,1.0
Truck,Maintenance,Unknown,Clear/Unknown,9,Saturday,32.46,Contact-with,1.0
Roller,General Construction,Unknown,Clear/Unknown,9,Saturday,58.79,Caught-in,3.0
Crane,General Construction,Unknown,Clear/Unknown,9,Sunday,45.57,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,37.54,Fall,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,9,Wednesday,57.71,Caught-in,3.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,9,Wednesday,65.83,Struck-by,3.0
Concrete Mixer,General Construction,Unknown,Clear/Unknown,9,Thursday,35.34,Fall,1.0
Truck,Operating,Unknown,Clear/Unknown,9,Thursday,49.57,Run-over,1.0
Crane,General Construction,Unknown,Clear/Unknown,9,Friday,62.14,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,10,Tuesday,48.58,Tip-over,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,10,Tuesday,71.77,Caught-in,4.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,10,Wednesday,47.52,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,10,Wednesday,43.16,Electrocution,1.0
Forklift,General Construction,Unknown,Clear/Unknown,10,Thursday,38.57,Caught-in,1.0
Loader,General Construction,Unknown,Clear/Unknown,10,Friday,41.58,Tip-over,1.0
Truck,General Construction,Unknown,Muddy,10,Friday,63.8,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,10,Sunday,37.54,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,10,Monday,43.16,Tip-over,1.0
Excavator,General Construction,Unknown,Clear/Unknown,10,Monday,45.36,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,10,Wednesday,48.3,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Wednesday,43.86,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,10,Thursday,36.9,Caught-in,1.0
Loader,General Construction,Unknown,Clear/Unknown,10,Thursday,43.45,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,10,Saturday,38.65,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,10,Tuesday,46.43,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,10,Wednesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Thursday,55.45,Struck-by,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,10,Friday,34.44,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,10,Sunday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Monday,48.58,Tip-over,1.0
Excavator,General Construction,Unknown,Clear/Unknown,10,Monday,78.36,Struck-by,4.0
Bulldozer,Maintenance,Unknown,Clear/Unknown,10,Tuesday,39.15,Tip-over,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,10,Tuesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Wednesday,47.19,Caught-in,1.0
Crane,General Construction,Unknown,Clear/Unknown,10,Thursday,45.57,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Thursday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,10,Monday,31.88,Other,1.0
Excavator,Operating,Unknown,Clear/Unknown,10,Tuesday,40.61,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,10,Tuesday,42.67,Struck-by,1.0
Loader,Operating,Unknown,Clear/Unknown,10,Tuesday,35.78,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Wednesday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Thursday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Thursday,47.19,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Thursday,48.58,Tip-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Friday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Friday,69.19,Caught-in,3.0
Forklift,Operating,Unknown,Clear/Unknown,11,Saturday,41.8,Struck-by,1.0
Bulldozer,Loading/Unloading,Unknown,Clear/Unknown,11,Saturday,31.57,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Monday,55.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,11,Tuesday,46.43,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,11,Wednesday,50.92,Fall,1.0
Truck,Operating,Unknown,Clear/Unknown,11,Wednesday,48.3,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Thursday,80.19,Caught-in,4.0
Truck,General Construction,Unknown,Clear/Unknown,11,Friday,55.45,Struck-by,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,11,Saturday,39.34,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,11,Tuesday,61.92,Fall,2.0
Excavator,Operating,Unknown,Clear/Unknown,11,Tuesday,40.61,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Thursday,69.19,Caught-in,3.0
Loader,General Construction,Unknown,Clear/Unknown,11,Thursday,34.04,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,11,Thursday,42.96,Caught-in,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,11,Friday,37.23,Collision,1.0
Crane,General Construction,Unknown,Clear/Unknown,11,Friday,45.57,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Friday,55.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,11,Saturday,38.57,Caught-in,1.0
Loader,General Construction,Unknown,Clear/Unknown,11,Monday,34.04,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,11,Monday,38.65,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Monday,55.45,Struck-by,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,11,Tuesday,40.95,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Tuesday,77.45,Struck-by,3.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,11,Monday,40.95,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Tuesday,48.58,Tip-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Wednesday,43.86,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Thursday,55.45,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,11,Thursday,36.16,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,11,Thursday,48.58,Tip-over,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,12,Friday,37.23,Collision,1.0
Truck,Operating,Unknown,Clear/Unknown,12,Friday,42.31,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Friday,47.19,Caught-in,1.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,12,Friday,34.84,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,12,Saturday,45.57,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,12,Monday,71.57,Caught-in,4.0
Truck,General Construction,Unknown,Clear/Unknown,12,Monday,47.19,Caught-in,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,12,Monday,37.54,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Tuesday,33.33,Contact-with,1.0
Forklift,General Construction,Unknown,Clear/Unknown,12,Wednesday,43.16,Tip-over,1.0
Backhoe,Excavation,Unknown,Clear/Unknown,12,Thursday,49.8,Struck-by,2.0
Excavator,Excavation,Unknown,Clear/Unknown,12,Thursday,41.05,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Thursday,43.86,Fall,1.0
Excavator,Excavation,Unknown,Clear/Unknown,12,Thursday,34.28,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,12,Friday,40.14,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Friday,48.58,Tip-over,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,12,Friday,34.16,Fall,1.0
Loader,Operating,Unknown,Clear/Unknown,12,Saturday,40.72,Electrocution,1.0
Roller,General Construction,Unknown,Clear/Unknown,12,Monday,24.18,Other,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,12,Monday,42.67,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,12,Tuesday,32.43,Contact-with,1.0
Roller,General Construction,Unknown,Clear/Unknown,12,Tuesday,41.97,Tip-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Wednesday,69.19,Caught-in,3.0
Excavator,Loading/Unloading,Unknown,Clear/Unknown,12,Thursday,34.84,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,12,Saturday,45.36,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,12,Monday,38.65,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,12,Tuesday,45.57,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Wednesday,43.86,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,12,Thursday,45.57,Struck-by,1.0
Forklift,Idling/Parked,Unknown,Clear/Unknown,12,Thursday,40.74,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,12,Friday,43.45,Run-over,1.0
Loader,General Construction,Unknown,Clear/Unknown,12,Tuesday,65.45,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,12,Tuesday,41.43,Burns,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,12,Wednesday,43.83,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,12,Thursday,38.65,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Friday,47.19,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,12,Friday,47.19,Caught-in,1.0
Crane,Operating,Unknown,Clear/Unknown,1,Tuesday,57.98,Fall,3.0
Excavator,Excavation,Unknown,Clear/Unknown,1,Tuesday,36.45,Caught-in,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Tuesday,42.96,Caught-in,1.0
Truck,Setup/Positioning,Unknown,Clear/Unknown,1,Wednesday,64.0,Caught-in,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Thursday,50.92,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,1,Thursday,59.36,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,1,Thursday,55.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Friday,46.43,Struck-by,1.0
Excavator,Operating,Unknown,Muddy,1,Friday,59.07,Struck-by,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,1,Sunday,39.83,Struck-by,1.0
Crane,Setup/Positioning,Unknown,Clear/Unknown,1,Monday,42.0,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,1,Tuesday,67.36,Struck-by,3.0
Roller,General Construction,Unknown,Clear/Unknown,1,Tuesday,40.17,Struck-by,1.0
Excavator,Excavation,Unknown,Clear/Unknown,1,Wednesday,34.28,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Wednesday,48.99,Electrocution,1.0
Crane,General Construction,Unknown,Clear/Unknown,1,Thursday,43.16,Electrocution,1.0
Excavator,General Construction,Unknown,Clear/Unknown,1,Thursday,45.36,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,1,Thursday,71.77,Caught-in,4.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Monday,42.96,Caught-in,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,1,Monday,37.54,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,1,Monday,45.57,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,1,Tuesday,38.65,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Wednesday,35.62,Fall,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,1,Thursday,39.66,Struck-by,1.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,1,Thursday,34.44,Fall,1.0
Backhoe,Loading/Unloading,Unknown,Clear/Unknown,1,Saturday,32.96,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Monday,46.43,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Monday,41.43,Burns,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Tuesday,46.43,Struck-by,1.0
Forklift,Maintenance,Unknown,Clear/Unknown,1,Tuesday,40.8,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,1,Tuesday,36.9,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Wednesday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,1,Thursday,45.36,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,1,Thursday,45.36,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Tuesday,46.43,Struck-by,1.0
Truck,Operating,Unknown,Clear/Unknown,1,Tuesday,64.31,Caught-in,3.0
Crane,General Construction,Unknown,Clear/Unknown,1,Wednesday,45.57,Struck-by,1.0
Aerial Lift,Loading/Unloading,Unknown,Clear/Unknown,2,Friday,34.2,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,2,Monday,60.77,Caught-in,3.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,2,Monday,39.66,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Tuesday,77.45,Struck-by,3.0
Forklift,Loading/Unloading,Night,Clear/Unknown,2,Tuesday,97.09,Fall,2.0
Truck,General Construction,Unknown,Clear/Unknown,2,Tuesday,55.45,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,2,Tuesday,46.43,Struck-by,1.0
Truck,Setup/Positioning,Unknown,Clear/Unknown,2,Friday,46.31,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Thursday,50.92,Fall,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,2,Friday,39.83,Struck-by,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Friday,39.34,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Friday,47.19,Caught-in,1.0
Crane,General Construction,Unknown,Clear/Unknown,2,Monday,45.57,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Monday,50.92,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,2,Tuesday,46.43,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,2,Wednesday,43.45,Struck-by,1.0
Forklift,Operating,Unknown,Clear/Unknown,2,Thursday,41.8,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,2,Friday,56.98,Caught-in,3.0
Crane,Operating,Unknown,Clear/Unknown,2,Monday,41.97,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,2,Monday,37.54,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,2,Wednesday,62.14,Caught-in,3.0
Truck,Operating,Unknown,Clear/Unknown,3,Thursday,48.3,Struck-by,1.0
Loader,Excavation,Unknown,Clear/Unknown,3,Saturday,41.49,Tip-over,1.0
Roller,Maintenance,Unknown,Clear/Unknown,3,Monday,68.76,Caught-in,4.0
Truck,Operating,Unknown,Clear/Unknown,3,Monday,48.3,Struck-by,1.0
Bulldozer,General Construction,Unknown,Clear/Unknown,3,Monday,37.6,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Tuesday,47.19,Caught-in,1.0
Truck,Idling/Parked,Unknown,Clear/Unknown,3,Wednesday,34.17,Pinch-Point,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Wednesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Wednesday,47.19,Caught-in,1.0
Truck,Operating,Unknown,Clear/Unknown,3,Wednesday,48.3,Struck-by,1.0
Excavator,Operating,Unknown,Clear/Unknown,3,Wednesday,36.11,Caught-in,1.0
Bulldozer,General Construction,Unknown,Clear/Unknown,3,Monday,22.17,Other,1.0
Excavator,Excavation,Unknown,Clear/Unknown,3,Tuesday,34.28,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,3,Tuesday,43.49,Tip-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Wednesday,33.33,Contact-with,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Wednesday,46.43,Struck-by,1.0
Crane,Maintenance,Unknown,Clear/Unknown,3,Wednesday,37.84,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Thursday,55.45,Struck-by,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Thursday,34.16,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,3,Thursday,29.25,Pinch-Point,1.0
Excavator,General Construction,Unknown,Clear/Unknown,3,Friday,24.96,Other,1.0
Truck,Operating,Unknown,Clear/Unknown,3,Friday,48.3,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,3,Monday,38.65,Fall,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,3,Tuesday,39.83,Struck-by,1.0
Aerial Lift,Mounting/Dismounting,Unknown,Clear/Unknown,3,Tuesday,32.65,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,3,Tuesday,38.65,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Tuesday,39.0,Collision,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Tuesday,50.92,Fall,1.0
Aerial Lift,Operating,Unknown,Clear/Unknown,3,Wednesday,32.86,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Thursday,44.11,Collision,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Friday,46.43,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Tuesday,36.16,Fall,1.0
Forklift,Operating,Unknown,Clear/Unknown,3,Tuesday,41.8,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Tuesday,45.57,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Thursday,67.57,Struck-by,3.0
Crane,Setup/Positioning,Unknown,Clear/Unknown,3,Friday,26.13,Other,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Friday,69.19,Caught-in,3.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Thursday,38.06,Collision,1.0
Dump Truck,General Construction,Unknown,Clear/Unknown,4,Thursday,40.34,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Thursday,45.36,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Friday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Friday,50.92,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Friday,47.52,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Saturday,79.43,Struck-by,4.0
Excavator,Operating,Unknown,Clear/Unknown,4,Wednesday,38.0,Collision,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Wednesday,55.45,Struck-by,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,4,Wednesday,26.32,Other,1.0
Excavator,General Construction,Unknown,Clear/Unknown,4,Thursday,45.36,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Friday,47.52,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Monday,43.86,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Wednesday,50.92,Fall,1.0
Roller,Operating,Unknown,Clear/Unknown,4,Wednesday,28.0,Pinch-Point,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Thursday,42.96,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Thursday,43.86,Fall,1.0
Loader,Operating,Unknown,Clear/Unknown,4,Thursday,40.72,Electrocution,1.0
Loader,General Construction,Unknown,Clear/Unknown,4,Friday,43.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Friday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Friday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Saturday,44.11,Collision,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,4,Monday,43.83,Struck-by,1.0
Crane,Operating,Unknown,Clear/Unknown,4,Monday,41.97,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Monday,49.94,Run-over,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Monday,47.19,Caught-in,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,4,Monday,60.77,Caught-in,3.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Monday,68.43,Struck-by,3.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Monday,71.57,Caught-in,4.0
Truck,Operating,Unknown,Clear/Unknown,4,Monday,32.43,Contact-with,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,4,Tuesday,50.92,Fall,1.0
Roller,General Construction,Unknown,Clear/Unknown,4,Thursday,36.79,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Friday,80.19,Caught-in,4.0
Truck,Operating,Unknown,Clear/Unknown,4,Friday,48.3,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,4,Friday,46.43,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Monday,47.19,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,4,Monday,88.45,Struck-by,4.0
Loader,Loading/Unloading,Unknown,Clear/Unknown,4,Monday,24.26,Other,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,5,Tuesday,61.66,Struck-by,3.0
Truck,General Construction,Unknown,Clear/Unknown,5,Tuesday,43.86,Fall,1.0
Grader,General Construction,Unknown,Clear/Unknown,5,Wednesday,40.69,Run-over,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,5,Wednesday,43.83,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Wednesday,59.99,Electrocution,2.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,5,Thursday,42.67,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,5,Thursday,60.57,Caught-in,3.0
Truck,General Construction,Unknown,Clear/Unknown,5,Thursday,88.45,Struck-by,4.0
Truck,General Construction,Unknown,Clear/Unknown,5,Friday,55.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Saturday,48.99,Electrocution,1.0
Forklift,General Construction,Unknown,Clear/Unknown,5,Saturday,29.69,Pinch-Point,1.0
Excavator,General Construction,Unknown,Clear/Unknown,5,Monday,34.68,Fall,1.0
Excavator,Excavation,Unknown,Clear/Unknown,5,Tuesday,41.85,Tip-over,1.0
Concrete Mixer,General Construction,Unknown,Clear/Unknown,5,Wednesday,70.64,Caught-in,4.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,5,Friday,38.65,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Friday,55.45,Struck-by,1.0
Excavator,Operating,Unknown,Clear/Unknown,5,Monday,40.61,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,5,Monday,55.45,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,5,Monday,42.96,Caught-in,1.0
